State,Population
Texas,25268418
Florida,18900773
California,37341989
North Carolina,9565781
New York,19421055
Georgia,9727566
Virginia,8037736
Arizona,6412700
Ohio,11568495
Pennsylvania,12734905
Illinois,12864380
New Jersey,8807501
Colorado,5044930
Washington,6753369
Massachusetts,6559644
Michigan,9911626
Tennessee,6375431
Missouri,6011478
Indiana,6501582
Maryland,5789929
Oregon,3848606
Louisiana,4553962
Wisconsin,5698230
South Carolina,4645975
Oklahoma,3764882
Minnesota,5314879
Kentucky,4350606
Alabama,4802982
Utah,2770765
Iowa,3053787
Connecticut,3581628
Nevada,2709432
Arkansas,2926229
Mississippi,2978240
Kansas,2863813
Idaho,1573499
New Mexico,2067273
Nebraska,1831825
West Virginia,1859815
Hawaii,1366862
Montana,994416
New Hampshire,1321445
Maine,1333074
Delaware,900877
South Dakota,819761
Rhode Island,1055247
North Dakota,675905
Alaska,721523
Vermont,630337
Wyoming,568300